from 20200130-500KHABSM-4p78125mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-6p750mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-5p625mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-4p064mgml (Second Difference),,,,,,,,,,,,,,,from 20200130-500KHABSM-3p450mgml (Second Difference),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.21,1.9955,1.75,62.69,Compound,None,,,,1,4.3199 .. 4.1667,2.12,951.7702,,1,4.21,2.6413,26.21,1243.05,Compound,None,,,,1,4.3199 .. 4.1667,2.23,1318.0643,,1,4.2,2.3116,18.2,755.25,Compound,None,,,,1,4.3199 .. 4.1667,2.92,1186.2577,,1,4.21,1.7573,1.92,60.73,Compound,None,,,,1,4.3199 .. 4.1667,2.1,825.3765,,1,4.21,1.5805,25.42,721.39,Compound,None,,,,1,4.3199 .. 4.1667,2.96,752.9594
2,4.13,1.8134,23.32,759.32,Compound,None,,,,2,4.1667 .. 4.0025,1.9,854.2622,,2,4.13,2.4323,18.37,802.33,Compound,None,,,,2,4.1667 .. 4.0025,1.96,1163.4431,,2,4.13,2.1138,27.23,1033.32,Compound,None,,,,2,4.1667 .. 4.0025,2.57,1043.5576,,2,4.13,1.5831,15.31,435.17,Compound,None,,,,2,4.1667 .. 4.0025,1.88,739.9241,,2,4.13,1.4446,3.15,81.69,Compound,None,,,,2,4.1667 .. 4.0025,2.77,706.3342
3,3.51,8.9717,26.98,4345.91,Compound,None,,,,3,3.5985 .. 3.4369,8.27,3714.7174,,3,3.51,11.3567,27.37,5580.09,Compound,None,,,,3,3.5985 .. 3.4369,8.19,4850.1998,,3,3.51,10.2045,27.26,4993.86,Compound,None,,,,3,3.5985 .. 3.4369,10.64,4319.1881,,3,3.51,7.8947,26.94,3818.64,Compound,None,,,,3,3.5985 .. 3.4369,8.15,3202.2235,,3,3.51,7.0697,26.89,3413.64,Compound,None,,,,3,3.5985 .. 3.4369,11.54,2939.102
4,3.19,10.7599,27.45,5301.81,Compound,None,,,,4,3.2205 .. 3.1641,6.99,3140.5345,,4,3.19,13.5506,29.02,7059.15,Compound,None,,,,4,3.2205 .. 3.1641,6.82,4037.8596,,4,3.19,12.1312,28.1,6120.76,Compound,None,,,,4,3.2205 .. 3.1641,8.82,3580.0915,,4,3.19,9.5363,26.68,4567.89,Compound,None,,,,4,3.2205 .. 3.1641,7.03,2760.3385,,4,3.19,8.5117,26.34,4024.95,Compound,None,,,,4,3.2205 .. 3.1641,9.63,2453.0962
5,3.01,4.7812,30.78,2641.83,Compound,None,,,,5,3.0701 .. 2.9498,4.95,2222.0565,,5,3.01,5.9394,32.35,3449.22,Compound,None,,,,5,3.0701 .. 2.9498,4.75,2812.8668,,5,3.01,5.2898,32.3,3067.9,Compound,None,,,,5,3.0701 .. 2.9498,6.12,2484.027,,5,3.01,4.2614,31.89,2439.65,Compound,None,,,,5,3.0701 .. 2.9498,5.02,1971.1149,,5,3.01,3.8384,31.83,2193.37,Compound,None,,,,5,3.0701 .. 2.9498,6.93,1764.5177
6,1.69,55.5318,4.2,4185.33,Compound,None,,,,6,1.7148 .. 1.6698,9,4045.3111,,6,1.69,69.6241,4.51,5631.84,Compound,None,,,,6,1.7148 .. 1.6698,9.26,5486.8645,,6,1.69,62.6197,4.39,4935.59,Compound,None,,,,6,1.7148 .. 1.6698,11.92,4837.2825,,6,1.69,49.1734,4.18,3689.64,Compound,None,,,,6,1.7148 .. 1.6698,9.06,3559.1094,,6,1.69,43.7174,4.07,3193.88,Compound,None,,,,6,1.7148 .. 1.6698,12.15,3094.415
7,0.84,12.5045,1.95,438.47,Compound,None,,,,7,0.8491 .. 0.8417,0.77,348.0964,,7,0.85,16.4416,2.08,614.31,Compound,None,,,,7,0.8491 .. 0.8417,0.79,470.197,,7,0.84,14.334,2,514.76,Compound,None,,,,7,0.8491 .. 0.8417,1.01,409.9722,,7,0.84,10.7136,1.98,381.54,Compound,None,,,,7,0.8491 .. 0.8417,0.76,298.3786,,7,0.84,9.3496,1.94,326.42,Compound,None,,,,7,0.8491 .. 0.8417,1.02,259.8175
conc (um),9.5625,time(s),0.5,irrad (t/f),FALSE,,,,,,,,,,conc (um),13.5,time(s),0.5,irrad (t/f),FALSE,,,,,,,,,,conc (um),11.25,time(s),0.5,irrad (t/f),FALSE,,,,,,,,,,conc (um),8.128,time(s),0.5,irrad (t/f),FALSE,,,,,,,,,,conc (um),6.9,time(s),0.5,irrad (t/f),FALSE,,,,,,,,
,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,Range,Normalized,Absolute
1,4.21,2.2606,26.6,1079.61,Compound,None,,,,1,4.3199 .. 4.1667,2.97,1081.7154,,1,4.21,2.9807,28.31,1515.02,Compound,None,,,,1,4.3199 .. 4.1667,2.96,1561.0588,,1,4.2,2.4309,19.69,859.14,Compound,None,,,,1,4.3199 .. 4.1667,2.63,1189.8139,,1,4.21,1.9842,12.77,455.05,Compound,None,,,,1,4.3199 .. 4.1667,2.99,954.6779,,1,4.21,1.7746,26.34,839.22,Compound,None,,,,1,4.3199 .. 4.1667,3.02,853.4993
2,4.13,2.0288,1.75,63.74,Compound,None,,,,2,4.1667 .. 4.0025,2.65,964.8275,,2,4.13,2.7238,17.15,838.61,Compound,None,,,,2,4.1667 .. 4.0025,2.6,1375.2528,,2,4.13,2.2105,0.96,38.2,Compound,None,,,,2,4.1667 .. 4.0025,2.2,996.7806,,2,4.13,1.7581,11.37,359.02,Compound,None,,,,2,4.1667 .. 4.0025,2.64,842.697,,2,4.12,1.5982,22.88,656.57,Compound,None,,,,2,4.1667 .. 4.0025,2.78,785.894
3,3.51,10.4621,27.21,5111.65,Compound,None,,,,3,3.5985 .. 3.4369,11.92,4342.332,,3,3.51,13.4449,27.78,6705.52,Compound,None,,,,3,3.5985 .. 3.4369,11.12,5868.9697,,3,3.51,11.7932,27.24,5767.92,Compound,None,,,,3,3.5985 .. 3.4369,10.79,4885.0196,,3,3.51,9.2045,27.15,4487.13,Compound,None,,,,3,3.5985 .. 3.4369,11.76,3758.7098,,3,3.51,8.1796,27.03,3969.3,Compound,None,,,,3,3.5985 .. 3.4369,12.02,3399.7212
4,3.19,12.5388,28.02,6308.46,Compound,None,,,,4,3.2205 .. 3.1641,10.12,3688.1238,,4,3.19,15.9337,29.88,8548.78,Compound,None,,,,4,3.2205 .. 3.1641,9.1,4805.9839,,4,3.19,14.0684,28.52,7202.31,Compound,None,,,,4,3.2205 .. 3.1641,9.21,4169.4433,,4,3.19,11.1128,27.25,5435.87,Compound,None,,,,4,3.2205 .. 3.1641,10.13,3238.8875,,4,3.19,9.8395,26.82,4737.32,Compound,None,,,,4,3.2205 .. 3.1641,10.09,2855.0343
5,3.01,5.4736,33.23,3265.23,Compound,None,,,,5,3.0701 .. 2.9498,7.18,2616.3491,,5,3.01,6.6874,33.19,3985.09,Compound,None,,,,5,3.0701 .. 2.9498,6.07,3203.9934,,5,3.01,6.0053,33.17,3575.84,Compound,None,,,,5,3.0701 .. 2.9498,6.33,2866.1649,,5,3.01,4.8526,32.97,2872.45,Compound,None,,,,5,3.0701 .. 2.9498,7.21,2305.5241,,5,3.01,4.3719,32.66,2563.32,Compound,None,,,,5,3.0701 .. 2.9498,7.25,2051.7737
